"ID","HCM","HRM","HCMax","HRMax","Nom","CardinalV","CardinalH","ChanceBonus","NombreMult","Creature1","Creature2","Creature3","Creature4","Creature5","Creature6","Creature7","Creature8","Creature9","Creature10","MalBonus","BonOeil","MauvaisOeil","Sanctuaire","Hall","SousRegion","EnLigne","PtNom","Creature11","Creature12","Creature13","Creature14","TerrainsInclus"
"67","102","28","","","Rocher rouge","Centre","X Terre","7","1","Orcs sauvages","Kobolds","Troll","Gnome","Infanterie gobline","Infanterie gobline","Pirate (v)","Revenants","Gabare","Guerriers Orcs","0","","","","","yes","yes","","Sangsues géantes","Waarg","Golem d&apos;acier","","_Rocailles_x6__Plaines_x3__Forets_x13__Rivieres_x9__Mers_x18__Collines_x13__Deserts_x6__Volcans_x2__Marecages_x1__Mort_x1__Montagnes_x8_"
"68","110","34","","","Terres des orcs","Centre","X Terre","10","1","Infanterie gobline","Guerriers Orcs","Guerriers Orcs","Cadavres mécanisés","Naga","Guerriers Orcs","","Balrog","Teiikos","Waarg","5","","","","","yes","yes","","Essaim géant","Calydon","","","_Collines_x21__Rocailles_x6__Deserts_x8__Mort_x15__Montagnes_x22__Forets_x1__Rivieres_x5__Mers_x1__Plaines_x1_"
"69","112","14","","","Vallée des géants","Air","Terre","","","Barbares","Homme-bêtes","","Cyclope","Combattants embarqués","Géant","","Araignées géantes","Dagon","Minautore","","","","","","yes","yes","","Ent","Ettins","","Méduses corrosives","_Mort_x27__Deserts_x23__Rocailles_x7__Collines_x18__Mers_x3__Rivieres_x2_"
"71","104","48","","","Lac d&apos;emeraude","Centre","Terre","","1","Diablotins","Waarg","Harpies","Vampire","","Waarg","","Guerriers putrides","Dragon","Hallebardier Huruk","","","","","","yes","yes","","Plantes carnivores","","","","_Mort_x4__Mers_x60__Rivieres_x4__Collines_x5__Montagnes_x2__Marecages_x4__Forets_x1_"
"72","72","19","","","Crache flammes","Air","Centre","","","Centaures","Loups","Dragon","Cerbères","Combattants embarqués","Cerbères","","","Furies","Vouivre","","","","","","yes","yes","","Drogué Kobold","Garn","","","_Rivieres_x8__Rocailles_x21__Montagnes_x11__Forets_x11__Collines_x28__Mers_x1_"
"73","114","76","","","Whenua","X Feu","X Terre","5","3","Tarasque","Furies","Vers des roches ","Basilisk","Rakashas","Naga","Forban","Démons (v)","Tritons","Djins","5","","","","","yes","yes","","Kappas","","Cerbères","Pakomodos","_Oceans_x28__Iles_x2__Mers_x24__Rivieres_x12__Forets_x2__Volcans_x2__Plaines_x2__Montagnes_x5__Mort_x1__Jungles_x2_"
"74","108","80","","","Pakmar","X Feu","X Terre","0","1","Basilisk","Rakashas","Rampant souterrain","Vers des Marais","Araignées géantes","Vers des sables","Pirate","Fantômes","Pakomodos","Vers des roches ","0","","","","","yes","yes","","Teiikos","","Balrog","Kappas","_Mers_x21__Oceans_x4__Volcans_x2__Iles_x1__Montagnes_x8__Deserts_x11__Rivieres_x8__Forets_x3__Plaines_x6__Mort_x1__Collines_x15_"
"76","50","26","","","Le Coeur","Centre","Centre","0","1","Nuée de corbeaux","Harpies","Géant","Brigands","","","","Zombies","Vouivre","Ivrognes","0","","","","","no","yes","Coeur","Esprits naturels","Chiens errants","","Mégalodon","_Plaines_x51__Rivieres_x29__Collines_x65__Forets_x17__Mort_x16__Montagnes_x49__Marecages_x26__Mers_x27__Rocailles_x3__Oceans_x2_"
"77","12","94","","","Dunes Infinies","X Feu","X Eau","30","2","Squelettes","Démons (v)","Vers de feu  ","Ombres","Rakashas","Efrits","","Vers des morts","Pakomodos","Squelettes","10","","","","","yes","yes","","Chameau","Cerbères (v)","","","_Deserts_x76__Forets_x2__Rocailles_x1__Jungles_x1_"
"78","8","90","","","Erg des Errants","X Feu","X Eau","30","2","Squelettes","Succubes","Vers des roches ","Ombres","Rakashas","Momies","","Vampire","Pakomodos","Squelettes","10","","","","","yes","yes","","Diablotins","Cerbères (v)","Diables (v)","","_Mers_x1__Deserts_x65__Mort_x2__Rivieres_x2__Rocailles_x5__Forets_x2__Volcans_x1__Montagnes_x2_"
"79","120","0","","","Grande Blanche","X Air","X Terre","35","2","Barbares","Lycanthrope","Jötunn","Harpies","Combattants embarqués","Troll","Ours polaire","Vampire","Teiikos","Ogre","15","","","","","no","yes","Grd.Blanche","Karhu","","","Serre","_Neige_x87__Mort_x35__Montagnes_x30__Rivieres_x31__Mers_x24__Oceans_x29__Forets_x19_"
"80","120","10","","","Dernière Sylve","Air","X Terre","30","2","Beholder","Lacryma primal","Orcs sauvages","Fantômes","Combattants embarqués","Byakhee","Karhu","Gargouilles","Shantak","Calydon","0","","","","","no","yes","D.Sylve","Esprits naturels","Gargouilles (v)","","Kraken","_Mort_x42__Deserts_x1__Montagnes_x19__Forets_x30__Marecages_x15__Rivieres_x33__Neige_x12__Mers_x30__Oceans_x68__Rocailles_x2__Collines_x3_"
"81","102","22","","","Mer Fumante","Centre","X Terre","7","1","Barbares","Infanterie gobline","Ogre","Gorgones","Infanterie gobline","Kobolds","Pirate (v)","Spectres","Griffon","Guerriers Orcs","0","","","","","no","yes","M.Fumante","Tritons","Hallebardier Huruk","Elémentaire de feu","","_Montagnes_x36__Forets_x31__Mers_x33__Mort_x32__Collines_x60__Rocailles_x19__Rivieres_x25__Deserts_x20__Marecages_x20__Plaines_x7__Volcans_x2_"
"82","118","22","","","Bourbier du Silence","Centre","X Terre","35","2","Waarg","Hallebardier Huruk","Homme-bêtes","Rampant souterrain","Infanterie gobline","Nephilim","Mânes","Revenants","Stryges","Furies","0","","","","","no","yes","B.Silence","Essaim géant","","","Béhémoth","_Forets_x8__Montagnes_x5__Mort_x49__Collines_x10__Rivieres_x43__Plaines_x13__Marecages_x52__Deserts_x1__Mers_x39__Oceans_x64__Iles_x1_"
"83","120","34","","","La Fournaise","Centre","X Terre","40","3","Lacryma primal","Infanterie gobline","Vers de feu","Gargouilles","Naga","Rampant souterrain","Pirate","Vers des morts","Mégalodon","Cultiste (v)","5","","","","","no","yes","Fournaise","Barge","Cerbères (v)","Balrog","Serre","_Mort_x69__Plaines_x10__Volcans_x17__Rivieres_x21__Mers_x28__Oceans_x79__Collines_x3__Montagnes_x9__Marecages_x10__Rocailles_x6__Iles_x3_"
"84","118","46","","","Le Cloaque","Centre","X Terre","50","2","Chiens errants","Cyon","Kobolds","Vers des Marais","Troll","Vers des sables","","Fantômes","Shantak","Ours noir","0","","","","","no","yes","Cloaque","Puces marines","Nephilim","Vers de feu","Brigantin","_Montagnes_x9__Mort_x30__Collines_x7__Rocailles_x22__Plaines_x8__Deserts_x23__Marecages_x26__Rivieres_x17__Mers_x24__Oceans_x105__Volcans_x6__Forets_x8_"
"85","118","60","","","Barrière de Corail","Feu","X Terre","30","2","Lacryma primal","Faunes","Phénix","Maquisards","Plantes carnivores","Djins","Flibustier","Byakhee","Gabare","Emim","0","","","","","no","yes","B.Corail","Naga","Lacryma primal","","Lusca","_Deserts_x49__Forets_x6__Mort_x23__Rivieres_x21__Mers_x81__Oceans_x70__Rocailles_x24__Iles_x4__Marecages_x5__Collines_x2_"
"86","120","74","","","Ile de l&apos;Oubli","X Feu","X Terre","30","2","Centaures","Satyre","Géant","Ombres","Smilodon","Gorgones","Mânes","Balrog","Selkies","Amphiptères","0","","","","","no","yes","Ile.Oubli","Teiikos","","Gargouilles (v)","Sirènes","_Mers_x48__Oceans_x153__Rivieres_x13__Marecages_x2__Plaines_x3__Deserts_x4__Mort_x1__Volcans_x1__Montagnes_x9__Jungles_x13__Iles_x1__Forets_x7_"
"87","118","86","","","Côte Fétide","X Feu","X Terre","30","2","Fantassins zombies","Esprits naturels","Vers de feu  ","Vers des Marais","Lacryma primal","Vers des sables","Boucanier","Vers des morts","Océaniens","Gremlins","0","","","","","no","yes","C.Fétide","Kappas","Cavalerie Haradrim","Diables (v)","Caulophryne","_Rivieres_x17__Plaines_x2__Mort_x4__Deserts_x56__Collines_x4__Montagnes_x11__Rocailles_x15__Mers_x40__Marecages_x22__Oceans_x107__Iles_x2__Volcans_x1__Jungles_x2__Forets_x2_"
"88","118","100","","","La Lisière","X Feu","X Terre","25","2","Cyon","Lacryma primal","Ettins","Behir","Smilodon","Nephilim","Boucanier","Grand ancien","Shidji","Naga","0","","","","","no","yes","Lisière","Gnolls","Rampant souterrain","Rampant souterrain","Béhémoth","_Rocailles_x4__Deserts_x80__Forets_x5__Mers_x51__Rivieres_x13__Plaines_x3__Jungles_x9__Oceans_x80__Iles_x2_"
"89","0","100","","","Monts Perdus","X Feu","X Eau","35","2","Squelettes","Diablotins (v)","Vers des roches","Démons (v)","Lacryma primal","Grand ancien","Mânes","Vers des morts","Lusca","Carcasses","10","","","","","no","yes","M.Perdus","Lémures (v)","Cultiste (v)","Vers de feu","Béhémoth","_Mers_x39__Oceans_x38__Marecages_x3__Montagnes_x64__Iles_x1__Rivieres_x17__Collines_x1__Forets_x7__Deserts_x35__Jungles_x14__Volcans_x3__Rocailles_x25_"
"90","14","100","","","Baie du Trident","X Feu","X Eau","35","2","Rampant souterrain","Fantômes","Vers de feu","Vers des Marais","Satyre","Guerriers fétides","","Démons","Pakomodos","Fantômes","10","","","","","no","yes","B.Trident","Pakomodos","Fantassins zombies","","Océaniens","_Forets_x3__Deserts_x45__Rocailles_x9__Montagnes_x8__Jungles_x23__Mers_x56__Oceans_x61__Rivieres_x10__Mort_x32_"
"91","32","100","","","Bassin des Embruns","X Feu","Eau","35","2","Lacryma primal","Ettins","Rampant souterrain","Vers des Marais","Shiru","Naga","Boucanier","Vers des morts","Mégalodon","Cadavres mécanisés","10","","","","","no","yes","B.Embruns","Noyés","Cauchemard","Vers de feu","Serre","_Deserts_x5__Mort_x37__Rivieres_x23__Mers_x49__Oceans_x31__Collines_x11__Montagnes_x32__Rocailles_x5__Marecages_x27__Plaines_x1__Volcans_x5__Jungles_x21_"
"92","50","100","","","Jungle Mouvante","X Feu","Centre","50","3","Fantassins zombies","Satyre","Vers des roches","Vers des Marais","Tokoloshe","Vers des sables","Maharamia","Vers des morts","Shidji","Rampant souterrain","5","","","","","no","yes","J.Mouvante","Puces marines","Gremlins","Diables (v)","Marid","_Jungles_x76__Montagnes_x9__Mers_x54__Oceans_x19__Rivieres_x28__Collines_x14__Deserts_x14__Rocailles_x18__Forets_x11__Iles_x1__Volcans_x3_"
"93","68","100","","","Erg des Mirages","X Feu","Centre","30","2","Donga","Nyati","Rampant souterrain","Vers des Marais","Raptor","Chamelier Haradrim","Maharamia","Fantômes","Marid","Ettins","5","","","","","no","yes","E.Mirages","Gabare","Cavalerie Haradrim","Diables","","_Rivieres_x26__Forets_x9__Deserts_x55__Mers_x55__Collines_x32__Marecages_x10__Rocailles_x24__Jungles_x16__Iles_x2__Plaines_x1__Montagnes_x15__Volcans_x1__Mort_x1_"
"94","86","100","","","Terres Condamnées","X Feu","Terre","25","2","Amphiptères","Lacryma primal","Vers des roches","Rakashas","Satyre","Vers des sables","Boucanier","Vampire","Océaniens","Démons (v)","5","","","","","no","yes","T.Condamnées","Cyon","Zombies","Elémentaire de feu","","_Montagnes_x26__Jungles_x19__Mers_x31__Rivieres_x24__Collines_x27__Mort_x30__Deserts_x67__Rocailles_x18__Marecages_x2__Volcans_x2__Forets_x1_"
"95","102","98","","","La Mâchoire","X Feu","X Terre","35","3","Djins","Smilodon","Dragon","Beholder","Tarasque","Sphinx","Boucanier","Vers des morts","Dagon","Emim","0","","","","","no","yes","Mâchoire","Pixies","Smilodon","Vers de feu","Méduses corrosives","_Jungles_x66__Rivieres_x33__Mers_x56__Collines_x26__Rocailles_x19__Marecages_x1__Deserts_x36__Montagnes_x6__Volcans_x9__Forets_x15__Mort_x18_"
"96","18","0","","","Neph","X Air","X Eau","10","1","","","Jötunn","","","","Sasquash","","Sepia","","10","","","","","yes","yes","Neph","Draugr","Waarg","Stryges","Sepia","_Oceans_x13__Mers_x24__Neige_x18__Rivieres_x6__Montagnes_x11__Volcans_x5__Rocailles_x3_"
"97","14","27","","","La Lame","Centre","X Eau","15","1","Cauchemard","","","Succubes","","","","","Byakhee","Cerbères","5","","","","","yes","yes","Lame","Noyés","","Diables","Navire Fantôme","_Oceans_x53__Mers_x14__Collines_x4__Rivieres_x3__Volcans_x1__Marecages_x1__Plaines_x4_"
"98","74","36","","","Sevel","Centre","Centre","5","1","","Loups","Lycanthrope","","","","","","Goguelins","Esprits naturels","0","","","","","yes","yes","Sevel","Léchi","Lycanthrope","","","_Forets_x39__Mers_x1__Rocailles_x1__Collines_x29__Rivieres_x9__Montagnes_x1_"
"99","28","103","","","Pays Noir","X Feu","Eau","10","3","","","Succubes","Banshees","Cerbères","Grand ancien","","Lémures","Noyés","Succubes","5","","","","","yes","yes","P.Noir","Gargouilles (v)","","","Lusca","_Deserts_x1__Jungles_x1__Mort_x52__Mers_x12__Oceans_x6__Rivieres_x3__Montagnes_x3__Collines_x1__Marecages_x1_"
"100","54","103","","","Toko","X Feu","Centre","50","3","","Gnome","Gnome","","Pixies","Tarasque","","","Lusca","Emim","10","","","","","yes","yes","Toko","Tokoloshe","","","Caulophryne","_Jungles_x34__Rivieres_x13__Collines_x4__Mers_x19__Deserts_x6__Oceans_x1__Montagnes_x2__Forets_x1_"
"101","108","63","","","Domaine des Baladins","Feu","X Terre","0","1","Créature","Soudards","","","Faunes","Créature volante","","","Maraudeurs","Ours noir","0","","","","","yes","yes","P.Baladins","Maraudeurs","Chiens errants","","Tritons","_Rocailles_x10__Deserts_x29__Forets_x6__Jungles_x5__Rivieres_x9__Collines_x4__Plaines_x3__Mers_x8__Oceans_x6_"
"102","76","105","","","Klanath","X Feu","Centre","20","2","Rhino","Murtazik","Brigands","Spectres","Gnolls","Vers des sables","Mânes","","Gabare","Détrousseur","5","","","","","yes","yes","Klanath","Esprits naturels","Nephilim","Vers des roches","","_Deserts_x3__Forets_x4__Mers_x21__Jungles_x13__Rocailles_x6__Plaines_x1__Rivieres_x15__Iles_x1__Collines_x5__Marecages_x3__Montagnes_x7__Volcans_x1_"
"103","50","11","","","Midgard","Air","Centre","0","1","Faunes","Auxiliaires Barbares","Hippogriffe","Hors la loi","Combattants embarqués","Brigands","Amphiptères","Goule","Barge","Esmerillon voyageur","0","","","","","yes","yes","Midgard","Barge","Soudards","Hydre","Anémone des récifs","_Forets_x10__Plaines_x41__Collines_x11__Rivieres_x11__Mers_x5__Rocailles_x2_"
"104","92","17","","","Grande Assemblée","Air","Terre","10","1","Berserkers","Auxiliaires Barbares","Ent","Hydre","Combattants embarqués","Vouivre","Sasquash","Goule","Nuée de corbeaux","Calydon","0","","","","","yes","yes","Grd.Ass","Maraudeurs","Orcs sauvages","Elémentaire de feu","Nuée de corbeaux","_Forets_x40__Rivieres_x11__Plaines_x4__Collines_x14__Rocailles_x11_"
"105","22","28","","","Utopia","Centre","X Eau","0","1","Faunes","Ours brun","Léprechaun","Lémures (v)","Farfadets","Nephilim","Pirate","Cerbères","Elémentaire d&apos;eau","Ours noir","5","","","","","yes","yes","Utopia","Gnome","Chiens errants","Ogre","Selkies","_Oceans_x17__Mers_x22__Plaines_x15__Mort_x1__Rivieres_x5__Montagnes_x6__Rocailles_x4__Collines_x5__Deserts_x1__Jungles_x1__Marecages_x3_"
"106","0","24","","","Ile de la Tortue","Centre","X Eau","0","1","Bagauds","Griffon","Brigands","Esprits naturels","Plantes carnivores","Combattants embarqués","Boucanier","Elémentaire d&apos;air","Gabare","Détrousseur","10","","","","","yes","yes","I.Tortue","Pirate","Essaim géant","Familier","Brigantin","_Oceans_x65__Mers_x7__Collines_x2__Rivieres_x2__Montagnes_x3__Forets_x1_"
"107","42","50","","","Onad","Centre","Eau","5","1","Gorgones","Garn","Chimère écarlate","Ombres","Rakashas","Beholder","Combattants embarqués","Gremlins","Gabare","Malandrins","0","","","","","yes","yes","Onad","Brigands","Golem","Cerbères","Méduses corrosives","_Mers_x16__Montagnes_x31__Rivieres_x10__Jungles_x14__Collines_x2__Volcans_x1__Forets_x6_"
"108","48","2","","","Yanovie","X Air","Centre","0","1","","Barbares","Auxiliaires Barbares","","","","Draugr","","Maraudeurs","Ours polaire","","","","","","yes","yes","Yanovie","Teiikos","","","Drakkar","_Oceans_x13__Mers_x10__Rivieres_x10__Neige_x8__Montagnes_x24__Collines_x12__Forets_x3_"
"109","64","27","","","Blutsauger","Centre","Centre","8","2","Lamies","Loups","Géant","Fantômes","Barbares","Chimères","Araignées géantes","Vampire","Noyés","Exilés","0","","","","","yes","yes","Blutsauger","Lycanthrope","Auxiliaires Barbares","Vers de feu","","_Plaines_x7__Mort_x18__Collines_x11__Rivieres_x7__Mers_x13__Marecages_x13__Forets_x3__Montagnes_x8_"
"110","66","39","","","Karaketchet","Centre","Centre","20","2","Zombies","Guerriers squelettes","Guerriers putrides","Hydre","Basilisk","Cadavres mécanisés","Araignées géantes","Spectres","Noyés","Fantassins zombies","0","","","","","yes","yes","Karaketchet","Noyés","Centaures","Vers de feu","","_Montagnes_x33__Collines_x21__Rivieres_x13__Forets_x9__Mers_x1__Plaines_x3_"
