"ID","Nom","Type","Deplacement","TypeDeplacement","PointsArmee","TauxProduction","TypeProduction","Evolution","ConditionPour","Nation","Pic","CargMat","CargMil","CargCiv","Detection","Discretion","Camouflage","Domaines","DomainesAttaq","Portee","Precision","Esquive","Couverture","PuissanceOff","PuissanceDef","Armure","Resistance","Rapidite","Moral","Loyaute","TauxProductionSec","TypeProductionSec","CargMV","ArretMarchand","AjustType","AjustTaux","CoutDricks","CoutUnitType","CoutUnitQ","CoutResType1","CoutResQ1","CoutResType2","CoutResQ2","CoutResType3","CoutResQ3","UnitProduite","Flag","Natures","NaturesAttaq","MaxPetitesCibles","Robustesse","ServantType","ServantMin","Attitude","NombrePourRencontres","TirEmbarque","RessourcesProduites1","RessourcesProduites2","UniteRequise","ProductionTypeUnite","ProductionNbrUnite","TempsDeConstruction","EnConstruction","RessourcesRecoltees","TauxRecolte","UniteRequise2","UniteRequise3","AjustRecolteUnite","AjustRecolteTaux","Medecine","CompetenceSpeciale","CompetenceTaux","ChefDeChantier","Terraform","SousType","DemantelerPour","Help","Disette","SousTypeCreatures","Sanitaire","Population","TechnoProhib","ProductionMaxUnite","EquivalentPaysan","AAbattre","ACouvrir","PonteAleatoire","EffetArmures","DegatsMorts","Imparable","TechnoAssoc","LogTypeProhib","UnitExistReq","NomVisible","RencontreAvec","NoteDeConstruction","PonteClassique","Irrigation","PersonnelMinimum","RealPOP","AEpargner","Producteur","LairType","EntretienRes","EntretienQuant","Formation","UniteRequise4","CoutResType4","CoutResQ4","EntretienMaj","PicNV","Endurance","Regime","PicType"
"287","Ombres","Soldat","5","MCTrav","45","","Magie_Pacte_Necro","","","","shadow0.jpg","0","0","","75","95","75","Terrestre","Terrestre","1","30","60","40","3","3","5","4","7","2","100","","","","","_Brou1_","25","","Vagabond","3","Encens","1","Charbon","3","Pierres de vie","6","3","Spy","Magique","Vivant_Monstre_Mort_Magique","1","","","","Chasse_Faibles","12","yes","","","Lémures (v)","","","0","20160529131116","","","Démons (v)","Vampire","","","","Contre-espionnage","75","","","Necromancie","","","","Pacte_EGenie","","Rencontre","Bardes","","","Spectraux","yes","","Ignore","Moitier","nocturne","","","01_Maître des ombres","","Spectres","","hall","","","0","8","8","Crypte abandonnée","","","","","Moral","6","","","100","Rien",""
"288","Fantômes","Soldat","6","MCTrav","36","","Necro_Magie","","","","fantomes.jpg","0","0","","75","85","95","Terrestre","Terrestre_Marin_Volant","1","55","55","20","2","2","5","6","5","2","100","","","","","","","3","Esclave","1","Pierres de vie","9","Cadavres frais","6","Encens","3","3","Spy","Magique","Vivant_Monstre_Magique","1","","","","Chasse_Faibles","6","yes","","","Fantômes","","","1","20160316145448","","","","","","","","Confusion","2","","","Necromancie","","","","EGenie","","Rencontre","Bardes","","","Spectraux","","","Ignore","Moitier","nocturne","","","","Variable_Paysans","Ombres","","necropole","","","0","15","15","Crypte abandonnée","","","","","Moral","3","","","100","Rien",""
"289","Cadavres mécanisés","Soldat","7","MCFanLourd","24","","Techno_Necro","","","","mecaca.png","0","0","","25","15","10","Terrestre","Terrestre","1","25","30","6","7","7","40","19","4","2","100","","","","","","","","","","Cadavres frais","9","Engrenages","1","Acier","3","9","Mil","Mecanique","Vivant_Monstre_Mort_Mecanique","1","75","","","Attaque","18","yes","","","Atelier","","","3","20160301124800","","","Tour sombre","Ossuaire","","","","Aggression","3","","","Necromancie","","","","","-1","Rencontre","Bardes","","","CreaMeca","","","Moitier","Moitier","vision","","","01_Nécromancien","","Catapulte à crâne","","necropole","","","0","3","3","Crypte abandonnée","","","","","Charbon","3","","","100","Charognard",""
"290","Revenants","Creature_Mort","7","MCEclaireurs","258","","","","","","mombres0.jpg","0","0","","65","45","85","Terrestre","Terrestre","1","45","60","30","7","7","30","12","6","2","100","","","","","","","","","","Hasgardos","1","","","","","","Mil","Magique","Vivant_Monstre_Magique","1","","","","Attaque","6","yes","","","","","","","20160313121439","","","","","","","","","","","","","","","","","-1","Rencontre","Bardes","","","Spectraux","","","Ignore","Moitier","nocturne_paralysation","","","","Variable_Paysans","Maître des ombres","","necropole","","","2","","","Demeure étrange","","","","","","","","","100","Charognard",""
"291","Spectres","Creature_Mort","7","MCTrav","135","","Necro_Magie","","","","undead1.jpg","0","0","","65","45","85","Terrestre","Terrestre_Volant","1","65","65","25","4","4","35","9","6","2","100","","","","","","","","","","Hasgardos","1","","","","","3","Spy","Magique","Vivant_Monstre_Magique","1","","","","Attaque","9","yes","","","","","","7","20160313121439","","","","","","","","Confusion","4","","","Necromancie","","","","","","Rencontre","Bardes","","","Spectraux","","","Ignore","Moitier","nocturne","","","","Variable","Revenants","","necropole","","","0","44","","Cache","","","","","","","","","100","Rien",""
"292","Héros squelettes","Soldat","6","MCFanLeger","114","","Necro","","","Squelettes","undead9.jpg","0","0","","75","55","20","Terrestre","Terrestre_Marin","1","60","50","6","7","7","35","25","6","2","100","","1","","","","","5","Carcasses","10","Pierres de vie","5","Gemmes","5","Moral","10","5","Mil","Mort","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","8","yes","","","Mausolée maudit","","","14","20160313122833","","","Nécropole","","","","","Confusion","3","","","Necromancie","","","","","-1","Rencontre","Bardes","","","GuerriersMV","","","Moitier","Moitier","lune","","","","","Seigneur Liche","","","","","2","20","20","Crypte abandonnée","","","","","","","","","100","Charognard",""
"293","Lamies","Creature_Mort","7","MCEclaireurs","95","","","","","","undead11.jpg","0","0","","75","45","90","Terrestre","Terrestre","2","25","65","12","12","12","50","20","6","2","100","","","","","","","","","","Hasgardos","1","","","","","","Spy","Mort","Vivant_Monstre_Magique","2","","","","Attaque","6","yes","","","","","","","20160313122833","","","","","","","","","","","","","","","","","-1","Rencontre","Bardes","","","","","","Moitier","Moitier","nocturne","","","","Variable_Paysans","Vampire","","necropole","","","2","","","Cache","","","","","","","","","100","Charognard",""
"294","Vampire","Soldat","7","MCEclaireurs","280","1","Necro_Magie","","","Zombies","vampire.jpg","0","0","","95","80","50","Terrestre_Sp","Terrestre_Marin_Volant","2","65","50","15","8","8","30","30","8","20","20","-10","16","","","_Prec4_Fati1_Loya2_","48","9","Bourgeois","1","Pierres de vie","9","Encens","3","Cuir vivant","1","3","Spy","Mort","Vivant_Monstre_Mort_Mecanique_Revolte_Magique","1","15","","","Chasse_Faibles","2","yes","Cadavres frais","Moral","Tour sombre","Goule","2","21","20160529131634","_Cadavres frais_Pierres de vie_","4","Nécromancien","","Zombie","2","","Assassinat","50","yes","","Necromancie","","","","Chef","-1","Rencontre","Bardes","","","","yes","","Moitier","Moitier","nocturne","","","","","Goule","","necropole","","Tumulus","5","37","37","Demeure étrange","","","","","Moral","90","","","100","Charognard",""
"295","Seigneur Liche","Soldat","7","MCFanLeger","494","","Necro_Magie","","","Squelettes","seigneur Liche.jpg","0","0","","100","40","15","Terrestre_Sp","Terrestre_Marin_Volant","4","65","40","8","14","14","50","35","9","20","100","","16","","","_PMor15_Fati1_Loya1_Couv2_","30","6","Nécromancien","1","Cadavres frais","4","Pierres de vie","12","","","1","Mil","Magique","Vivant_Monstre_Mort_Mecanique_Magique","2","","","","Attaque","2","yes","","","Académie du dogme","","","21","20160529131634","","","","","","","","Confusion","15","","","Necromancie","","","","Chef_Tisseur","-3","Rencontre","Bardes","","","","yes","","Ignore","Moitier","lune_yes","","","01_Nécropole","","Héros squelettes (v)","","necropole","","","5","67","67","Demeure étrange","","","","","","","","","100","Charognard",""
"296","Momies","Soldat","4","MCFanLourd","253","","Theo_Necro","","","","momies.jpg","0","0","","75","25","10","Terrestre","Terrestre","1","70","37","6","11","13","40","35","3","2","100","","","","","_Rapi1_","8","6","Bourgeois","1","Cuir vivant","1","Pierres de vie","12","Poupee de Ramauk","3","5","Mil","Mort","Vivant_Monstre_Mort_Mecanique_Magique","1","50","","","Attaque","6","yes","","","Nécropole","","","14","20160529131634","","","Pyramide d&apos;Onyx","Momies","","","","Confusion","5","","","Necromancie","","","","","-2","Rencontre","Bardes","","","Momies","yes","","","Moitier","lune","","","01_Nécromancien","","Fantassins zombies","","necropole","","","2","21","21","Crypte abandonnée","","","","","","","","","100","Charognard",""
"297","Cauchemard","Creature_Mort","10","MCCheval","86","","","","","","nightmare.jpg","0","85","","75","25","0","Terrestre_Volant","Terrestre_Marin_Volant","1","50","50","0","9","9","30","25","8","2","100","","","","","","","","","","Hasgardos","1","","","","","","Mil","Mort","Vivant_Monstre_Mort_Mecanique_Batiment_Magique","2","","","","Attaque","3","yes","","","","","","","20160313122833","","","","","","","","","","","","","","","","","","Rencontre","Bardes","","","","","","","","nocturne","","","","","Cerbères (v)","","necropole","","","3","","","Crypte abandonnée","","","","","","","","","100","Charognard",""
"298","Banshees","Creature_Mort","7","MCTrav","289","","","","","","banshee4.jpg","0","0","","75","65","50","Terrestre","Terrestre_Marin_Volant","3","75","50","0","6","6","50","30","10","2","100","","","","","","","","","","Hasgardos","1","","","","","","Mil","Mort","Vivant_Monstre_Magique","1","","","","Attaque","3","yes","","","","","","","20160529131116","","","","","","","","Confusion","25","","","","","","","","-2","Rencontre","Bardes","","","","","","Ignore","Moitier","nocturne_yes","","","","Famille en deuil","Lamies","","necropole","","","3","","","Crypte abandonnée","","","","","","","","","100","Charognard",""
"300","Diablotins","Creature_Mort","6","MCTrav","27","","Magie_Pacte","","","","diablotin.jpg","0","0","","70","85","75","Terrestre","Terrestre","4","30","60","25","3","3","20","7","9","2","100","","","","","","","","Cultiste (v)","3","Pierres de vie","6","Gemmes","2","Poupee de Ramauk","1","6","Spy","Monstre","Vivant_Monstre_Mort_Mecanique_Magique","1","","","","Chasse_Faibles","15","yes","","","Porte de Sheol","","","1","20160313124856","","","","","","","","Confusion","1","","","","","","","Pacte","","Rencontre","Bardes","","","Diables","yes","","Ignore","Moitier","vision","","","01_Sorcier","","Lémures","","hall","","","0","9","9","Cache","","","","","Moral","6","","","50","Charognard",""
"301","Kobolds","Creature_Humanoides","5","MCEclaireurs","3","20%","Techno_Indus","","","","kob.jpg","0","0","","55","85","50","Terrestre","Terrestre","2","27","35","20","2","3","10","4","5","0","30","","","","","","","","","","Acier","2","Cuir","2","Pierre","9","9","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Chasse_Faibles","36","","Acier","","Kobolds","","","3","20160224013832","_Pierre_Charbon_Metal_","1","Mine Kobold","","","","","Aggression","3","","","Mines","","","","Kobold_Creature","","Rencontre","","","","","","","","","lune","","","","","Drogué Kobold","","","","","1","2","2","Tanière","","","","","Gemmes","2","","","30","Omnivore",""
"302","Gargouilles","Creature_Mort","9","MCVolant","23","","Pacte_Despo","","","","gargvete.jpg","0","0","","70","15","10","Terrestre_Volant","Terrestre_Marin_Volant","1","30","30","10","4","5","75","9","7","2","100","","","","","","","1","Dévot","1","Pierre","10","Cadavres frais","2","Pierres de vie","2","2","Mil","Mecanique","Vivant_Monstre_Mort_Mecanique","1","","","","Chasse_Faibles","12","yes","","","Cultiste (v)","","","1","20160313124856","","","Gargouilles","","","","","Contre-espionnage","45","","","","","","","Pacte","","Rencontre","","no","","Demons","","","","Moitier","vision","","","","","Stryges","","hall","","","0","6","6","Crypte abandonnée","","","","","Moral","2","","","65","Charognard",""
"303","Gremlins","Creature_Humanoides","5","MCEclaireurs","2","","Techno_Magie","","","","gremlins.jpg","0","0","","70","80","75","Terrestre","Terrestre_Marin","1","25","65","20","2","2","5","3","6","0","20","","","","","","","9","","","Spiritueux","2","Engrenages","1","Pierres de vie","9","18","Spy","Monstre","Vivant_Monstre_Mort_Mecanique_Batiment","1","","","","Chasse_Faibles","36","","","","Gremlins","","","7","20160301121433","","","Gobelingénieur","","","","","Insubordination","2","","","Magie","","","","Creature","","Rencontre","","","","","","yes","Ignore","Double","demolition","","","03_Technomancien","","","","academie","","","0","3","3","Refuge","","","","","","","","","30","Rien",""
"304","Cerbères","Creature_Mort","6","MCEclaireurs","57","","Pacte_Dress","","","","cerebrus.jpg","0","0","","160","60","25","Terrestre","Terrestre","1","45","55","8","9","9","15","18","8","2","100","","","","","","","","Chiens de guerre","6","Cadavres frais","6","Pierres de vie","9","Viande","6","6","Mil","Monstre","Vivant_Monstre_Mort_Mecanique_Magique","3","","","","Attaque","6","","","","Cerbères","","","7","20160313124856","","","Temple profané","","","","","","","","","","","","","Pacte","-1","Rencontre","Bardes","","","Diables","","","","Tiers","lune","","","05_Cultiste (v)","","Démons","","hall","","","3","9","9","Tanière","","","","","","","","","85","Charognard",""
"305","Succubes","Creature_Mort","9","MCVolant","104","2","Pacte","","","Conscrits","succubus7.jpg","0","0","","85","50","10","Terrestre_Volant","Terrestre_Marin_Volant","1","40","60","10","6","6","15","13","8","2","85","","1","","","","","6","Prostituée","9","Drogues","3","Perles","9","Tissu","3","9","Mil","Monstre","Vivant_Monstre_Mort_Mecanique_Magique","1","","","","Chasse_Faibles","8","","Moral","","Porte de Sheol","","","2","20160313124856","","","Hall des perditions","","","","","Confusion","5","","","","","","","Pacte","-1","Rencontre","Bardes","","","","","","Moitier","Moitier","lune","","","","Bourgeoise","Cerbères","","hall","","","2","14","14","Cache","","","","","Pierres de vie","3","","","65","Carnivore",""
"306","Rakashas","Creature_Sauvage","4","MCFanLourd","106","","","","","","Rakashas.jpg","0","0","","105","35","5","Terrestre","Terrestre","2","65","40","6","10","12","40","22","7","2","100","","","","","","","","","","","","","","","","","Mil","Monstre","Vivant_Monstre_Mort_Mecanique_Magique","1","","","","Attaque","6","","","","","","","","20160224013942","","","","","","","","","","","","","","","","","","Rencontre","Bardes","","","","","","","Moitier","","","","","","Gargouilles","","","","","1","","","Cache","","","","","","","","","100","Carnivore",""
"307","Diables","Creature_Mort","4","MCFanLourd","66","","Magie_Pacte","","","","diables.jpg","0","0","","85","50","10","Terrestre","Terrestre","1","40","50","6","8","8","35","18","7","2","100","","","","","","","","Cultiste","10","Pierres de vie","10","Charbon","5","Papier","2","5","Mil","Monstre","Vivant_Monstre_Mort_Mecanique_Magique","1","","","","Attaque","6","","","","Lénuwiel Manrandiryl la Tisseuse","","","1","20160313124856","","","Hall des perditions","Porte de Sheol","","","","Confusion","5","","","","","","","Pacte","-1","Rencontre","Bardes","","","Diables","","","","Moitier","lune_yes","","","","","Diables (v)","","hall","","","3","8","8","Cache","","","","","Moral","25","","","80","Charognard",""
"308","Grand ancien","Creature_Mort","6","MCVolant","818","","Pacte","","","","grand ancien.jpg","0","0","","125","80","50","Terrestre_Volant","Terrestre_Marin_Volant","2","85","20","0","17","13","60","95","6","80","100","","","","","_Loya1_","20","40","Cultiste","25","Pierres de vie","40","Cadavres frais","15","Moral","150","1","Mil","Monstre","Vivant_Monstre_Mort_Mecanique_Batiment_Magique","3","25","","","Attaque","1","","","","Hall des perditions","Gargouilles (v)","3","1","20160529131634","","","Lénuwiel Manrandiryl la Tisseuse","","Zombie","2","","Confusion","15","","","","","","","Pacte_Chef","-5","Rencontre","Bardes","yes","","","","","Ignore","","lune_yes","","","","","Gargouilles","","hall","","Autel sacrificiel","4","177","177","Demeure étrange","","","","","","","","","100","Charognard",""
"309","Balrog","Creature_Mort","10","MCFanLourd","1052","","","","","","lotr-balrog.jpg","0","0","","110","10","5","Terrestre","Terrestre_Marin_Volant","2","85","50","0","20","20","40","110","10","2","100","","","","","_PAtt10_","50","","","","","","","","","","1","Mil","Monstre","Vivant_Monstre_Mort_Mecanique_Batiment_Magique","3","35","","","Attaque","1","","","","Experience","","","","20160614170705","","","","","","","","Confusion","10","","","","","","","","","Rencontre","Bardes","","","","yes","","Moitier","","lune_yes","","","","","Cerbères","","necropole","","","5","","","Antre","","","","","","","","","100","Carnivore",""
"310","Korigans","Creature_Humanoides","5","MCEclaireurs","5","","Magie_Dress","","","","korrigan01.jpg","0","0","","85","90","50","Terrestre","Terrestre","1","20","50","30","5","5","10","7","8","0","35","","","","","","","","","","","","","","","","","Mil","Monstre","Vivant_Monstre_Mort_Mecanique_Magique","1","","","","Chasse_Faibles","18","","","","","Korigans","40","","20160224013832","","","","","","","","","","","","","","","","Creature","","Rencontre","","","","Faeries","","yes","Double","Moitier","","","","","Variable_Geants","Ent","","","","","0","","","Cache","","","","","","","","","35","Omnivore",""
"311","Farfadets","Creature_Humanoides","8","MCEclaireurs","3","","","","","","farfadets.jpg","0","0","","100","90","65","Terrestre","Terrestre_Volant","3","25","50","30","3","3","5","5","12","0","35","","","","","","","","","","","","","","","","","Spy","Monstre","Vivant_Monstre_Mort_Mecanique_Magique","1","","","","Chasse_Faibles","15","","","","","","","","20160224013832","","","","","","","","","","","","","","","","","","Rencontre","","","","Faeries","","yes","Double","Moitier","","","","","Variable_Faeries","Nixies","","","","","0","","","Chaumière","","","","","","","","","35","Omnivore",""
"312","Lennain Sith","Creature_Sauvage","4","MCVolant","17","","","","","","lennain sith.jpg","0","0","","85","90","50","Terrestre","Terrestre","1","20","65","30","4","4","20","6","7","2","30","","","","","","","","","","Hasgardos","1","","","","","18","Mil","Monstre","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","25","","","","","Lennain Sith","21","","20160531125944","","","","","","","","","","","","","","","","","","Rencontre","","yes","","","","","Inverse","Moitier","demolition","","","","","","","","","","0","","","Nid","","","","","","","","","60","Omnivore",""
"313","Faunes","Creature_Humanoides","6","MCEclaireurs","43","","Magie_Dress","","","","faune_1923.jpg","0","0","","85","90","50","Terrestre","Terrestre","1","30","35","30","7","8","15","14","7","2","40","","","_Saltimbanque","","","","","Saltimbanque","1","Gemmes","1","Pierres de vie","6","Spiritueux","1","3","Mil","Monstre","Vivant_Monstre_Mort_Magique","1","","","","Chasse_Faibles","8","","","","Ecole de magie","","","14","20160301125201","","","Grand totem","","","","","Confusion","3","","","Divertissement","","","","Barbare_Creature","","Rencontre","","","","Faeries","","","Double","Moitier","","","","01_Chamane","Variable_Faeries","","","","","","2","9","9","Cache","","","","","","","","","65","Omnivore",""
"314","Firebolgs","Creature","5","MCEclaireurs","30","","Magie_Dress","","","","firebolgs.jpg","0","0","","85","20","15","Terrestre","Terrestre","1","40","50","20","11","11","10","12","15","2","85","","","","","","","15","Nixies","5","Acier","5","Pierres de vie","4","Gemmes","3","5","Mil","Monstre","Vivant_Monstre_Mort_Mecanique_Batiment","1","","","","Attaque","10","","","","Arbre chantant","","","14","20160224040255","","","","","","","","","","","","","","","","Creature","","Rencontre","","","","Trolls","","yes","Double","Moitier","","","","","","Nixies","","","","","0","12","12","Cache","","","","","","","","","85","Omnivore",""
"315","Djins","Creature_Nature","7","MCVolant","293","","","","","","genie.jpg","0","0","","120","35","35","Volant","Terrestre_Marin_Volant","3","50","50","30","11","11","30","17","14","2","100","","","","","","","","","","","","","","","","","Mil","Monstre","Vivant_Monstre_Magique","1","","","","Attaque","5","","","","","","","","20160529131634","","","","","","","","Confusion","5","","","","","","","Tisseur","","Rencontre","","","","Elementaux","","","","Moitier","","","","","Caravaniers","","","","","","3","","","Repaire","","","","","","","","","65","Rien",""
"316","Efrits","Creature_Nature","7","MCVolant","251","","","","","","efreet.jpg","0","0","","85","50","85","Terrestre_Volant","Terrestre_Marin_Volant","3","50","50","30","8","8","30","20","7","2","50","","","","","","","","","","","","","","","","","Mil","Magique","Vivant_Monstre_Mort_Mecanique_Magique","1","","","","Chasse_Faibles","5","","","","","","","","20160529131634","","","","","","","","","","","","","","","","Tisseur","","Rencontre","","","","Elementaux","","","Moitier","Moitier","","","","","","","","","","","3","","","Repaire","","","","","","","","","65","Rien",""
"317","Elémentaire d&apos;air","Creature_Nature","7","MCVolant","478","","","","","","elemental_air.jpg","0","0","","85","90","100","Terrestre_Volant","Terrestre_Marin_Volant","2","75","75","30","14","14","20","35","11","2","100","","","","","","","","","","","","","","","","","Mil","Magique","Vivant_Monstre_Mort_Mecanique_Batiment","5","","","","Attaque","1","","","","","","","","20160529131634","","","","","","","","Berserk","4","","","","","","","","","Rencontre","","","","Elementaux","","","Moitier","","vision_yes","","","","Tornade","","","","","","0","","","","","","","","","","","","100","Rien",""
"318","Elémentaire d&apos;eau","Creature_Nature","7","MCBatMix","588","","Magie","","","","elemental_eau.jpg","0","0","","85","90","100","Terrestre_Marin","Terrestre_Marin","2","60","40","30","18","18","40","55","7","2","100","","","","","","","","Tisseur","1","Perles","10","Pierres de vie","100","Spiritueux","1","1","Mil","Magique","Vivant_Monstre_Mort_Mecanique_Batiment","5","","","","Attaque","1","","","","Arbre chantant","","","30","20160529131634","","","","","","","","Berserk","4","","","","","","","Creature","","Rencontre","","","","Elementaux","","","Inverse","","vision_yes","","","","Tourbillon","","","","","","0","295","295","","","","","","Moral","100","","","100","Rien",""
"319","Elémentaire de terre","Creature_Nature","5","MCEclaireurs","681","","","","","","elemental de terre.jpg","0","0","","85","90","100","Terrestre","Terrestre","1","50","10","30","30","30","60","70","4","2","100","","","","","","","","","","","","","","","","","Mil","Magique","Vivant_Monstre_Mort_Mecanique_Batiment","3","","","","Attaque","2","","","","","","","","20160529131634","","","","","","","","Berserk","4","","","","","","","","","Rencontre","","","","Elementaux","","","Inverse","Double","vision","","","","Tremblement de terre","","","","","","0","","","","","","","","","","","","100","Rien",""
"320","Elémentaire de feu","Creature_Nature","7","MCEclaireurs","472","","","","","","elemental de feu.jpg","0","0","","85","90","0","Terrestre","Terrestre_Volant","2","70","60","0","25","25","25","30","9","2","100","","","","","","","","","","","","","","","","","Mil","Magique","Vivant_Monstre_Mort_Mecanique_Batiment","5","","","","Attaque","1","","","","","","","","20160529131634","","","","","","","","Berserk","4","","","","","","","","","Rencontre","","","","Elementaux","","yes","Moitier","Double","vision_yes","","","","Incendie","","","","","","0","","","","","","","","","","","","100","Rien",""
"321","Sasquash","Creature_Humanoides","6","MCEclaireurs","273","","Dress","","","","saquash.jpg","0","0","","85","60","60","Terrestre","Terrestre","2","50","35","20","20","20","25","40","6","2","50","","","","","","","9","","","Runes de givre","9","Gibier","18","Cadavres frais","6","3","Mil","Monstre","Vivant_Monstre_Mort_Mecanique_Batiment","2","","","","Chasse_Faibles","2","","","","Grotte des grands pieds","","","21","20160529131634","","","","","","","","Insubordination","3","","","","","","","Barbare_Creature","","Rencontre","","","","","","","Moitier","","","","","01_Grand totem","","","","","","","2","35","35","Caverne","","","","","Drogues","3","","","50","Carnivore",""
"322","Vagabond","Civil","3","MCEngin","0","","Info","","","","vagabond.jpg","0","0","","50","35","0","Terrestre","Terrestre","1","10","20","8","2","2","0","7","3","0","5","","","","","","","3","","","","","","","","","6","Pce","Vivant","Vivant_Monstre_Mort","1","","","","Defense","6","","","","Maison Cossue","","","3","20160224015349","","","","","","","","","","","","Divers","Cadavre","","","Hors-la-loi","","Citoyen","","","","Civils","","","Double","Moitier","","","","01_Espion","","","","vagabonds","","","5","1","1","","","","","","","","","","20","Omnivore",""
"334","Chef de chantier","Civil","5","MCEclaireurs","2","20%","Construct","","","","chefchantier.jpg","0","0","","55","25","0","Terrestre","Terrestre","1","20","20","6","3","4","5","10","4","0","25","10%","","","","","","6","Paysan","1","Nourriture","6","","","","","6","Pce","Vivant","Vivant_Monstre_Mort_Mecanique_Batiment","","","","","Defense","","yes","Chevrons de construction","Acier","Réserve","","","1","20160301132800","","","","","","","","Batisseur","12","yes","","Amenagements","Manants","","","","","Citoyen","","","","","yes","","Double","","","","","","","","Le chef de chantier est l&apos;unité de base permettant de construire des bâtiments.","","","","7","3","4","","","","","","","","","","25","Omnivore",""
"335","Voilerie","Batiment","0","","0","4","Artisan","","","","","0","0","_Capitaine","0","50","-25","Terrestre","","","0","-25","5","0","0","40","220","0","0","100","","","","","","","18","Tisserand","1","Tissu","15","Vegetaux","20","Chevrons de construction","6","1","Bld","Mecanique","","","","","","Inoffensif","","no","Voile","","Atelier de tisserand","Artisan voilier","12","28","20160629142932","","","Voilerie","","","","","","","yes","","Ateliers","Batiment delabre","","","","","","","","","","","","","","","_Saltimbanque_Eclaireur_Espion_Milicien","","01_Atelier de tisserand","","","","","","","200","92","92","","","","","","Pierre","20","","","100","Omnivore",""
"336","Assassin","Soldat","5","MCEclaireurs","36","-1","Despo","","","","assassin.jpg","0","0","","90","100","20","Terrestre","Terrestre","2","25","50","15","5","3","10","13","10","2","35","","","","","","","6","Hors la loi","3","Acier de Grim","1","Cuir","1","Drogues","1","3","Spy","Vivant","Vivant_Monstre_Mort_Mecanique","1","","Brigand","","Chasse_Faibles","3","yes","Moral","","Chef de bande","","","14","20160628022527","","","Bras droit","","","","","Assassinat","30","","","","","","","Hors-la-loi_HLL","","","","","","","yes","","Moitier","Tiers","poison","_Milicien","","01_Bastion de Brigands","Variable","Brute (v)","","brigands","","","2","8","8","","","","Puits des âmes","","Spiritueux","1","","Mendiant1.jpg","80","Omnivore",""
"337","Champion des clans","Soldat","6","MCEclaireurs","104","","Att_Chasse","","","","Champions des clans.jpg","0","0","","75","20","10","Terrestre","Terrestre_Marin","1","50","40","25","12","10","25","25","7","1","75","","","","","","","5","Barbares (v)","10","Acier","2","Spiritueux","1","Gemmes","3","5","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","6","yes","","","Baraquement barbare","","","10","20160614134612","","","Village Barbare","Champion des clans","","","","Pillage","","yes","","","","","","Barbare","","","","","","","","","","Moitier","","","BA","","","Archer furtif (v)","","","","","2","13","13","","","","","Village nomade","","","","","85","Omnivore",""
"338","Arbre chantant","Batiment","0","","0","2","Magie_Dress","","","","arbre chantant.jpg","0","0","_Espion_Eclaireur_Saltimbanque","50","60","20","Terrestre","","","0","-25","10","0","0","40","100","0","0","100","","","","","","20","","Nixies","20","Pierres de vie","20","Fruits","5","Vegetaux","5","1","Bld","Mecanique","","0","","","","Inoffensif","","no","Pierres de vie","","Arbre chantant","Nixies","x6","14","20160629140041","","","Ecole de magie","","","","","","","","","Camp","","","1","","","","","yes","","","","","","","","","BS_PR_BA","","","","","","","","150","60","60","","Vegetaux","3","","","","","3","","100","Vegetarien",""
"339","Camp barbare","Batiment_Militaire","0","","102","","Chasse","Aucun","","","villaba.jpg","250","0","","65","0","12","Terrestre","Terrestre_Marin_Volant","3","30","0","10","5","5","50","150","0","0","100","","","","50_2","_Couv1_","5","18","Barbares","10","Bois","16","Spiritueux","2","Acier","2","1","Bld Spy","Mecanique","Vivant_Monstre_Mort_Mecanique","1","","","","Inoffensif","","no","","","Barbares","Barbares","x6","3","20160729210907","_Gibier_Poissons_","5","Champion des clans","","","","","Quotas","Cuir50","","","Camp","Amovible","Si vous possédez la technologie &quot;Drakkar&quot; et que votre Camp Barbare est situé sur une rivière enneigée, il générera des Ruxs à la place des Barbares.","1","Barbare","","","","yes","","","","","","Moitier","","","BA","","","","","","","Druide","175","47","47","","Cuir","0","","","Metal","8","2","","100","Omnivore",""
"340","Grotte gobeline","Batiment_Militaire","0","","234","1","Despo","Aucun","_Mountain_Hills_Volcano_","","grotgob.jpg","150","0","","85","50","30","Terrestre","Terrestre_Marin_Volant","3","25","0","20","4","4","80","800","0","0","100","1","","","","_Couv1_","10","18","Gobelins","12","Metal","9","Chevrons de construction","9","Bois","36","1","Bld Spy","Batiment","Vivant_Monstre_Mort_Mecanique","1","","","","Inoffensif","","no","Viande","Cuir","Gobelins","Gobelins","x8","8","20160629142932","_Gibier_","3","Village des sans crocs","","Gobelins (v)","1","","","","yes","","Camp","","","","PVGob","","","","yes","","","","","Double","Moitier","poison","","OR","","","","La grotte gobeline doit être construite dans des montagnes ou des collines. Chaque grotte vous permet de générer 72 infanteries gobelines supplémentaires.","","","Grotte gobeline","240","53","53","","Metal","2","","","Gibier","36","2","","100","Charognard",""
